sep=|
DIPUTACIONES
06/09/2022 22:30 (UTC-5)
CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230085B0100"|230085B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0085"|1|B|0|1|2|11|3|3|23|2|15|35|8|4|2|-|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|110|449|COTEJADO EN PLENO
="230085C0100"|230085C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0085"|1|C|0|1|2|12|5|3|20|0|17|39|5|0|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|18|120|449|COTEJADO EN PLENO
="230086B0100"|230086B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0086"|1|B|0|1|2|18|7|1|39|4|27|69|9|0|2|-|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|8|185|518|COTEJADO EN PLENO
="230086C0100"|230086C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0086"|1|C|0|1|2|18|7|3|29|4|18|46|10|1|3|-|0|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|9|151|518|COTEJADO EN PLENO
="230087B0100"|230087B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0087"|1|B|0|1|2|17|3|0|87|1|24|62|10|3|3|-|0|2|0|0|0|0|0|0|0|0|2|0|1|0|0|0|15|230|718|COTEJADO EN PLENO
="230088B0100"|230088B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0088"|1|B|0|1|2|19|12|1|80|5|20|48|6|1|1|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|193|553|COTEJADO EN PLENO
="230089B0100"|230089B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0089"|1|B|0|1|2|21|3|1|80|5|14|70|12|1|3|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|219|530|COTEJADO EN PLENO
="230090B0100"|230090B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0090"|1|B|0|1|2|29|7|2|67|6|18|78|29|3|8|-|3|1|0|0|0|0|0|0|0|0|1|0|0|0|0|3|17|272|616|COTEJADO EN PLENO
="230090C0100"|230090C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0090"|1|C|0|1|2|30|4|3|62|8|13|71|30|1|4|-|2|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|11|245|615|COTEJADO EN PLENO
="230091B0100"|230091B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0091"|1|B|0|1|2|32|9|2|83|5|23|90|20|3|5|-|0|1|0|0|2|0|0|0|0|0|1|0|0|0|0|0|8|284|647|COTEJADO EN PLENO
="230091C0100"|230091C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0091"|1|C|0|1|2|22|5|4|94|5|28|90|20|5|4|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|284|647|COTEJADO EN PLENO
="230092B0100"|230092B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0092"|1|B|0|1|2|37|11|3|57|6|12|79|13|0|4|-|0|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|14|239|577|COTEJADO EN PLENO
="230092C0100"|230092C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0092"|1|C|0|1|2|40|5|3|47|6|23|82|9|3|6|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|236|576|COTEJADO EN PLENO
="230093B0100"|230093B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0093"|1|B|0|1|2|49|15|2|61|1|16|42|15|3|3|-|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|10|220|613|COTEJADO EN PLENO
="230093C0100"|230093C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0093"|1|C|0|1|2|48|16|0|61|8|18|43|11|2|1|-|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|10|220|613|COTEJADO EN PLENO
="230093C0200"|230093C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0093"|2|C|0|1|2|57|9|6|51|8|18|54|17|2|3|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|232|612|COTEJADO EN PLENO
="230094B0100"|230094B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0094"|1|B|0|1|2|21|8|5|86|6|15|78|19|3|7|-|1|2|0|0|0|0|0|0|0|1|6|0|0|0|1|0|24|283|600|COTEJADO EN PLENO
="230094C0100"|230094C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0094"|1|C|0|1|2|18|13|2|86|8|18|91|27|6|1|-|0|1|1|0|0|0|0|0|0|0|4|0|2|0|0|0|27|305|599|COTEJADO EN PLENO
="230095B0100"|230095B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0095"|1|B|0|1|2|26|4|7|145|9|15|50|8|1|0|-|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|9|276|575|COTEJADO EN PLENO
="230096B0100"|230096B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0096"|1|B|0|1|2|13|6|1|39|7|11|29|3|2|1|-|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|7|120|395|COTEJADO EN PLENO
="230096C0100"|230096C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0096"|1|C|0|1|2|5|3|0|23|3|10|33|6|0|1|-|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|5|92|394|COTEJADO EN PLENO
="230097B0100"|230097B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0097"|1|B|0|1|2|49|15|2|61|1|16|42|15|3|3|-|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|10|220|593|COTEJADO EN PLENO
="230114B0100"|230114B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0114"|1|B|0|1|2|6|2|2|27|2|11|34|1|0|0|-|0|0|0|0|0|1|0|1|0|0|1|0|0|0|0|0|0|88|377|COTEJADO EN PLENO
="230114C0100"|230114C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0114"|1|C|0|1|2|9|2|1|32|2|7|25|3|2|1|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|84|376|COTEJADO EN PLENO
="230115B0100"|230115B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0115"|1|B|0|1|2|8|2|3|28|3|12|30|2|2|4|-|0|1|0|0|1|0|0|1|0|0|2|0|0|0|0|0|7|106|472|COTEJADO EN PLENO
="230115C0100"|230115C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0115"|1|C|0|1|2|6|5|1|24|3|14|28|5|0|2|-|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|1|92|471|COTEJADO EN PLENO
="230116B0100"|230116B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0116"|1|B|0|1|2|27|10|3|32|9|11|38|6|2|3|-|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|150|449|COTEJADO EN PLENO
="230116C0100"|230116C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0116"|1|C|0|1|2|26|6|6|38|3|12|44|6|0|4|-|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|157|449|COTEJADO EN PLENO
="230117B0100"|230117B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0117"|1|B|0|1|2|35|8|1|69|4|20|67|28|1|0|-|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|15|250|549|COTEJADO EN PLENO
="230117C0100"|230117C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0117"|1|C|0|1|2|31|1|4|79|4|17|59|25|2|3|-|1|1|0|0|0|0|0|0|0|0|3|0|0|0|0|0|13|243|548|COTEJADO EN PLENO
="230119B0100"|230119B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0119"|1|B|0|1|2|85|8|1|8|3|23|37|7|0|1|-|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|3|178|529|COTEJADO EN PLENO
="230136B0100"|230136B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0136"|1|B|0|1|2|66|12|4|19|2|11|23|6|5|4|-|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|2|6|162|471|COTEJADO EN PLENO
="230137B0100"|230137B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0137"|1|B|0|1|2|107|16|3|6|4|18|50|6|4|3|-|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|5|225|584|COTEJADO EN PLENO
="230137S0100"|230137S010003|23|QUINTANA ROO|="01"|DISTRITO 1|="0137"|1|S|0|1|3 EMR|17|5|3|9|1|10|44|23|0|6|-|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|5|127|0|COTEJADO EN PLENO
="230137S0100"|230137S010003|23|QUINTANA ROO|="01"|DISTRITO 1|="137"|1|S|0|1|3 ERP|88|24|16|78|24|89|231|55|9|11|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|38|663|0|COTEJADO EN PLENO
="230169B0100"|230169B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0169"|1|B|0|1|2|164|13|2|8|4|10|17|2|1|2|-|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|5|229|645|COTEJADO EN PLENO
