ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
23,1,mas,Concepcion Geronimo Narvaez,Maria Lizbeth Ciau Sima
23,1,mc,German Pool Che,Russell Mendoza Veloz
23,1,pan_pri,Saydi Anduze Trujillo,Guadalupe Arleny Ortiz Pool
23,1,prd,Eyra Del Rosario Carranza Torres, 
23,1,pvem_pt_morena,Wilbert Alberto Batun Chulim,Erick Noe Bustos Ortiz
23,2,mas,Cristobal Cel Pat,Gustavo Ortega Abascal
23,2,mc,Hugo Arturo Alvarez Ruiz,Nahum Alberto Sanchez May
23,2,pan_pri,Lexi Yohana Pool Saenz,Nuvia Del Carmen Iuit Perez
23,2,prd,Ernestina Del Socorro Pinzon Solis,Mary Lisbeth Canche Pool
23,2,pvem_pt_morena,Andrea Del Rosario Gonzalez Loria,Yolanda Elizabeth Reyes Garcia
23,3,mas,Alfredo Francisco Villaseñor Rodriguez,Julio Dzul Y Pool
23,3,mc,Maria Del Rosario Hernandez Hernandez,Maria Agueda Gordillo Dominguez
23,3,pan_pri,Wendy Yolanda Fanny Gonzalez Burgos,Diana Patricia Sanchez Leyva
23,3,prd,Esteban Alfonso Diaz Ramirez,
23,3,pvem_pt_morena,Ruben Antonio Carrillo Buenfil,Roberto Cuautle Medina
23,4,mas,Maria De Los Angeles Novelo Torres,Laura Virgina Lopez Vazquez
23,4,mc,Diana Lilian Lopez Carrera,Alejandra Jimenez Ayala
23,4,pan_pri,Maria Esther Andrade Namur,Paula Cruz Talavera Hernandez
23,4,prd,Edith Lorena Encalada Cetina,Zazil Adabelle Che Poot
23,4,pvem_pt_morena,Alexa Murguia Trujillo,Fabiola Nohemi Castro Figueroa
23,5,mas,Juan Carlos Lucas Peñaloza,
23,5,mc,Johany Del Socorro Vazquez Dominguez,Juana Del Carmen Padron Garcia
23,5,pan,Jose Antonio Daniel Aguilar Quiroz,Lucero Jackelin Hernandez Cortez
23,5,prd,Ileana Herminia Castillo Chan,Lizeth Lopez Ortiz
23,5,pri,Adriana Mezquita Romero,Cristel Amayrany Acosta Leon
